,id,AFDB50_highest_Tm,AFDB50_highest_Tm_ID,AFDB50_seqIdent,AFDB50_qcov,AFDB50_tcov,AFDB50_evalue,species
38,cons_1562,0.3721,AF-A0A7S3LXY6-F1-model_v4,0.169,1.0,0.402,6.243,Palpitomonas bilix
39,cons_130,0.8265,AF-A0A6J2UMM0-F1-model_v4,0.236,0.742,0.31,0.004552,Scaptodrosophila lebanonensis
40,cons_1450,0.7732,AF-A0A519MGQ7-F1-model_v4,0.05,0.27,0.207,1.532,Hymenobacter sp.
41,cons_596,0.9874,AF-U3N283-F1-model_v4,0.404,0.618,0.328,0.00144,Apis cerana
42,cons_725,0.9155,AF-A0A1D8QLN3-F1-model_v4,0.401,0.778,0.984,4.768e-09,Anastrepha fraterculus
43,cons_81,0.6884,AF-A0A498P193-F1-model_v4,0.07,0.786,0.15,0.8018,Labeo rohita
44,cons_1529,0.6626,AF-A0A6P8YXM0-F1-model_v4,0.466,0.801,1.0,1.666e-23,Thrips palmi
45,cons_597,0.9245,AF-A0A7S0LJ73-F1-model_v4,0.147,0.508,0.313,0.0005063,Coccolithus braarudii
46,cons_378,0.6001,AF-A0A3M0Y1B8-F1-model_v4,0.122,0.527,0.111,6.282,Planctomycetota bacterium
47,cons_859,0.6532,AF-A0A6A8SK48-F1-model_v4,0.2,0.955,0.379,0.526,Turicibacter sanguinis
48,cons_2181,0.2629,AF-H2XM70-F1-model_v4,0.214,0.986,0.585,8.635,Ciona intestinalis
49,cons_211,0.6456,AF-A0A6J2UI86-F1-model_v4,0.508,0.795,0.663,9.077e-08,Scaptodrosophila lebanonensis
50,cons_846,0.3613,AF-A0A2H3D176-F1-model_v4,0.118,0.968,0.599,4.243,Armillaria gallica
51,cons_1810,0.2532,AF-A0A7R8H737-F1-model_v4,0.355,0.985,0.352,9.156,Lepeophtheirus salmonis
52,cons_2267,0.9395,AF-A0A2M4AKY4-F1-model_v4,0.365,0.667,0.247,0.001764,Anopheles triannulatus
53,cons_228,0.202,AF-A0A6A4L2W2-F1-model_v4,0.125,0.662,0.445,8.604,Rhododendron williamsianum
54,cons_1626,0.7212,AF-A0A212EGR8-F1-model_v4,0.439,0.446,0.477,0.01367,Danaus plexippus plexippus
55,cons_1618,0.9522,AF-A0A6G1R8R5-F1-model_v4,0.222,0.372,0.952,1.794e-09,Hypotaenidia okinawae
56,cons_1304,0.9311,AF-A0A5E4Q9P2-F1-model_v4,0.486,0.607,0.385,4.449e-08,Leptidea sinapis
57,cons_166,0.2774,AF-A0A699J4R3-F1-model_v4,0.205,0.981,0.545,9.297,Tanacetum cinerariifolium
58,cons_1113,0.2552,AF-A0A7S1AXL2-F1-model_v4,0.205,1.0,0.205,4.369,Noctiluca scintillans
59,cons_2180,0.5137,AF-A0A0G0VID0-F1-model_v4,0.096,0.861,0.886,6.287,Candidatus Roizmanbacteria bacterium GW2011_GWB1_40_7
60,cons_768,0.895,AF-A0A7R8YP10-F1-model_v4,0.472,1.0,0.746,1.069e-28,Hermetia illucens
61,cons_1219,0.4489,AF-A0A1Y1X5T2-F1-model_v4,0.171,0.984,0.64,8.047,Anaeromyces robustus
62,cons_2366,0.3855,AF-A0A392QL55-F1-model_v4,0.156,1.0,0.342,3.964,Trifolium medium
63,cons_2177,0.3624,AF-A0A224XKC7-F1-model_v4,0.206,0.471,0.295,4.634,Panstrongylus lignarius
64,cons_1791,0.9329,AF-A0A6P8ZT55-F1-model_v4,0.447,0.71,0.269,2.395e-06,Thrips palmi
65,cons_1045,0.8163,AF-A0A5E4NJM7-F1-model_v4,0.321,0.778,0.189,0.1319,Cinara cedri
66,cons_603,0.5055,AF-A0A034WHP4-F1-model_v4,0.522,1.0,0.85,4.996e-11,Bactrocera dorsalis
67,cons_1759,0.3312,AF-A0A699TDF0-F1-model_v4,0.11,0.832,0.826,6.401,Tanacetum cinerariifolium
68,cons_1683,0.9433,AF-A0A3B1JI17-F1-model_v4,0.298,0.74,0.852,3.446e-07,Astyanax mexicanus
69,cons_2185,0.9339,AF-A0A6J2T942-F1-model_v4,0.893,0.658,0.902,6.885e-13,Scaptodrosophila lebanonensis
70,cons_1792,0.9936,AF-A0A834REY9-F1-model_v4,0.542,0.641,0.289,6.82e-05,Sarcoptes scabiei
71,cons_1634,0.3605,AF-A0A653HCH9-F1-model_v4,0.114,0.97,0.539,6.393,Hepatocystis sp. ex Piliocolobus tephrosceles
72,cons_1448,0.3603,AF-A0A5B1CA10-F1-model_v4,0.186,0.947,0.521,9.458,Rubripirellula obstinata
73,cons_2396,0.9428,AF-A0A7M7GLW5-F1-model_v4,0.288,0.648,0.584,5.226e-05,Nasonia vitripennis
74,cons_258,0.4126,AF-A0A1F5TQR0-F1-model_v4,0.196,0.776,0.195,8.318,Candidatus Falkowbacteria bacterium RIFOXYD2_FULL_34_120
75,cons_245,0.9261,AF-A0A1X9P7L8-F1-model_v4,0.246,0.485,0.961,5.54e-07,Conogethes punctiferalis
76,cons_523,0.8867,AF-A0A0N1PFD5-F1-model_v4,0.225,0.421,0.842,0.0001055,Papilio xuthus
77,cons_14,0.5308,AF-A0A522NWM1-F1-model_v4,0.164,0.929,0.849,7.226,Mycobacterium sp.
78,cons_637,0.2825,AF-A0A6P7G1W1-F1-model_v4,0.19,1.0,0.303,5.006,Diabrotica virgifera virgifera
79,cons_2254,0.6153,AF-A0A6J2UJ61-F1-model_v4,0.305,0.966,0.468,1.474e-06,Scaptodrosophila lebanonensis
80,cons_455,0.2788,AF-A0A2H5UAM2-F1-model_v4,0.142,1.0,0.113,9.743,Rhizophagus irregularis DAOM 181602=DAOM 197198
81,cons_67,0.3914,AF-A0A2G2Z9H9-F1-model_v4,0.111,0.6,0.514,3.277,Capsicum annuum
82,cons_1728,0.9063,AF-A0A4S3ZNF1-F1-model_v4,0.535,0.466,0.973,4.844e-18,Flavobacterium supellecticarium
83,cons_88,0.1689,AF-A0A6P6Y3K3-F1-model_v4,0.145,1.0,0.994,8.921,Dermatophagoides pteronyssinus
84,cons_2271,0.7729,AF-A0A811VAM5-F1-model_v4,0.466,0.87,0.87,0.001771,Ceratitis capitata
85,cons_1234,0.9765,AF-A0A2M4AY62-F1-model_v4,0.741,0.823,0.989,1.136e-08,Anopheles triannulatus
86,cons_99,0.295,AF-A0A497HU06-F1-model_v4,0.298,0.967,0.567,3.394,Thermoplasmata archaeon
87,cons_2265,0.4705,AF-A0A1B0FIM0-F1-model_v4,0.132,0.981,0.679,5.712,Glossina morsitans morsitans
88,cons_954,0.4087,AF-M6JJC4-F1-model_v4,0.139,0.682,0.812,9.755,Leptospira santarosai serovar Arenal str. MAVJ 401
89,cons_2198,0.2218,AF-A0A0A8NRS1-F1-model_v4,0.151,0.897,0.541,8.022,Xenorhabdus nematophila str. Websteri
90,cons_2332,0.9844,AF-V5GXH8-F1-model_v4,0.554,0.856,0.944,5.981e-08,Anoplophora glabripennis
91,cons_1385,0.9912,AF-A0A7L0EN79-F1-model_v4,0.585,0.887,0.308,1.114e-08,Trogon melanurus
92,cons_855,0.2546,AF-A0A0R3T1A7-F1-model_v4,0.313,1.0,0.567,0.006641,Rodentolepis nana
93,cons_500,0.9196,AF-B0XGJ0-F1-model_v4,0.783,0.812,0.857,4.69e-49,Culex quinquefasciatus
94,cons_395,0.3795,AF-A0A378K1N4-F1-model_v4,0.156,0.877,0.759,3.895,Legionella moravica
95,cons_605,0.5575,AF-A0A0A1XPV3-F1-model_v4,0.584,0.873,0.746,4.422e-13,Zeugodacus cucurbitae
96,cons_965,0.3881,AF-A0A4Z2G4J4-F1-model_v4,0.165,0.819,0.346,4.872,Liparis tanakae
97,cons_1510,0.431,AF-A0A3M7TX86-F1-model_v4,0.262,0.938,0.836,6.594,Alteribacter keqinensis
98,cons_701,0.6595,AF-A0A1D2R3J1-F1-model_v4,0.157,0.937,0.396,8.866,Candidatus Altiarchaeales archaeon WOR_SM1_86-2
99,cons_2380,0.2474,AF-A0A5B8MYU0-F1-model_v4,0.216,0.829,0.723,3.161,Chloropicon primus
100,cons_1987,0.4845,AF-A0A840NNH2-F1-model_v4,0.19,1.0,0.969,9.217,Bartonella callosciuri
101,cons_673,0.9279,AF-A0A2N0X8K1-F1-model_v4,0.177,0.554,0.849,2.266,Corynebacterium mastitidis
102,cons_11,0.3801,AF-A0A0E2D1A8-F1-model_v4,0.125,0.786,0.95,7.394,Leptospira interrogans str. UI 12758
103,cons_155,0.352,AF-A0A7W9AIS6-F1-model_v4,0.164,0.94,0.369,8.821,Sphingobium boeckii
104,cons_61,0.2611,AF-A0A4Y2QZR7-F1-model_v4,0.125,0.917,0.445,6.711,Araneus ventricosus
105,cons_1483,0.5228,AF-A0A1G2AQ09-F1-model_v4,0.14,0.417,0.18,4.081,Candidatus Kerfeldbacteria bacterium RIFCSPHIGHO2_02_FULL_42_14
106,cons_948,0.3836,AF-A0A840GYG0-F1-model_v4,0.147,1.0,0.626,7.803,Bradyrhizobium sp. ERR14
107,cons_817,0.3357,AF-A0A4Q4V3R6-F1-model_v4,0.186,0.968,0.476,7.459,Monosporascus sp. MC13-8B
108,cons_756,0.4321,AF-A0A1B0B508-F1-model_v4,0.646,0.883,0.638,6.231e-10,Glossina palpalis gambiensis
109,cons_939,0.9082,AF-A0A811UJZ5-F1-model_v4,0.489,0.843,0.31,3.009e-09,Ceratitis capitata
110,cons_249,0.9109,AF-A0A2R5LFR8-F1-model_v4,0.335,0.671,0.955,7.666e-13,Ornithodoros turicata
111,cons_706,0.7454,AF-A0A1B0F9B5-F1-model_v4,0.602,1.0,1.0,5.171e-05,Glossina morsitans morsitans
112,cons_2312,0.8806,AF-A0A0J7JTL7-F1-model_v4,0.31,0.847,0.978,0.0001328,Lasius niger
113,cons_1582,0.3578,AF-A0A6J2UFP5-F1-model_v4,0.544,1.0,0.897,4.575e-09,Scaptodrosophila lebanonensis
114,cons_972,0.9706,AF-A0A087UX20-F1-model_v4,0.479,0.658,0.828,0.04021,Stegodyphus mimosarum
115,cons_1733,0.5165,AF-A0A5M3YT10-F1-model_v4,0.184,0.92,0.307,7.081,Aspergillus terreus
116,cons_1180,0.2684,AF-A0A7J7AWG5-F1-model_v4,0.196,0.918,0.404,6.535,Lamprigera yunnana
117,cons_1315,0.4925,AF-A0A6A5G833-F1-model_v4,0.115,0.796,0.127,7.799,Caenorhabditis remanei
118,cons_1918,0.3848,AF-A0A4Z2BAD5-F1-model_v4,0.093,0.98,0.18,8.66,Takifugu bimaculatus
119,cons_430,0.3286,AF-X1BXV3-F1-model_v4,0.083,0.935,0.299,7.721,marine sediment metagenome
120,cons_225,0.9863,AF-A0A0N8JZ13-F1-model_v4,0.377,0.735,0.871,0.00165,Scleropages formosus
121,cons_1545,0.8955,AF-A0A1A9YNR8-F1-model_v4,0.686,0.819,0.198,9.192e-11,Glossina fuscipes fuscipes
122,cons_1603,0.9046,AF-A0A1Y3B7X6-F1-model_v4,0.205,0.867,0.534,0.7038,Euroglyphus maynei
123,cons_510,0.9898,AF-A0A671TDE2-F1-model_v4,0.546,0.782,0.915,4.672e-09,Sinocyclocheilus anshuiensis
124,cons_2027,0.9824,AF-H6ABW8-F1-model_v4,0.642,0.282,1.0,0.0003466,Strongyloides papillosus
125,cons_2349,0.195,AF-A0A814UA26-F1-model_v4,0.114,0.94,0.41,4.993,Adineta ricciae
126,cons_962,0.3013,AF-A0A4Q3CQU1-F1-model_v4,0.185,1.0,0.93,1.535,Sphingomonadales bacterium
127,cons_1410,0.5824,AF-A0A7N9C9Q8-F1-model_v4,0.231,0.918,0.57,2.799,Macaca fascicularis
128,cons_2079,0.9896,AF-A0A6J2U829-F1-model_v4,0.505,0.989,1.0,1.855e-11,Scaptodrosophila lebanonensis
129,cons_1778,0.929,AF-A0A0A1WQU4-F1-model_v4,0.27,0.98,0.935,3.703e-11,Zeugodacus cucurbitae
130,cons_2005,0.9415,AF-A0A1A9VCH8-F1-model_v4,0.473,0.562,0.993,6.391e-15,Glossina austeni
131,cons_703,0.7573,AF-A0A4C1SZD3-F1-model_v4,0.625,0.567,0.976,1.87e-10,Eumeta japonica
132,cons_1947,0.1921,AF-Q22954-F1-model_v4,0.117,0.924,0.634,6.502,Caenorhabditis elegans
133,cons_2155,0.3582,AF-A0A1I8HLC7-F1-model_v4,0.186,0.985,0.944,1.057,Macrostomum lignano
134,cons_1001,0.99,AF-B3SFN0-F1-model_v4,0.336,0.613,0.989,3.296e-05,Trichoplax adhaerens
135,cons_1815,0.9452,AF-A0A836J7W0-F1-model_v4,0.507,0.683,0.866,5.699e-05,Acromyrmex insinuator
136,cons_223,0.4648,AF-A0A7X4JTZ4-F1-model_v4,0.187,0.985,0.384,3.898,Acidobacteria bacterium
137,cons_169,0.9207,AF-A0A0B6Z8D9-F1-model_v4,0.594,0.698,0.175,0.06102,Arion vulgaris
138,cons_444,0.5882,AF-A0A514CPX9-F1-model_v4,0.144,1.0,1.0,8.805,Rhizochromulina marina
139,cons_2188,0.9204,AF-A0A5B7HIH8-F1-model_v4,0.559,0.663,0.831,0.000183,Portunus trituberculatus
140,cons_121,0.9976,AF-M9WQ89-F1-model_v4,0.868,0.57,0.992,2.521e-57,Sitophilus zeamais
141,cons_782,0.6574,AF-A0A3D8J4E1-F1-model_v4,0.133,0.435,0.142,3.906,Helicobacter anseris
142,cons_2344,0.4396,AF-A0A7S2S0I9-F1-model_v4,0.204,0.889,0.201,6.264,Rhizochromulina marina
143,cons_2077,0.8902,AF-A0A373BK32-F1-model_v4,0.134,0.65,0.104,6.326,Clostridium sp. AM25-23AC
144,cons_762,0.9639,AF-A0A1Y1LX22-F1-model_v4,0.335,0.659,1.0,1.122e-14,Photinus pyralis
145,cons_1566,0.9649,AF-A0A1L8E818-F1-model_v4,0.878,0.779,0.987,1.427e-07,Haematobia irritans
146,cons_480,0.2854,AF-A0A2V5LZM0-F1-model_v4,0.224,0.866,0.322,7.934,Verrucomicrobia bacterium
147,cons_2217,0.9315,AF-Q86WA1-F1-model_v4,0.333,0.579,0.786,0.157,Homo sapiens
148,cons_441,0.1686,AF-A0A345D8Y9-F1-model_v4,0.157,0.986,0.305,8.733,Ephemeroptericola cinctiostellae
149,cons_694,0.5785,AF-A0A831T2Q4-F1-model_v4,0.119,0.762,0.849,1.502,Blastocatellia bacterium
150,cons_1715,0.9886,AF-A0A7R9BAA8-F1-model_v4,0.634,0.638,0.99,1.89e-14,Timema shepardi
151,cons_695,0.5106,AF-A0A1I8PUW3-F1-model_v4,0.124,0.904,0.908,0.02187,Stomoxys calcitrans
152,cons_550,0.9828,AF-E9H5J8-F1-model_v4,0.588,0.773,0.944,3.011e-05,Daphnia pulex
153,cons_755,0.2625,AF-A0A392NBV8-F1-model_v4,0.16,1.0,0.528,8.71,Trifolium medium
154,cons_1485,0.9922,AF-A0A034VG57-F1-model_v4,0.515,0.864,0.669,2.662e-14,Bactrocera dorsalis
155,cons_2355,0.1645,AF-A0A195FTF3-F1-model_v4,0.2,0.987,0.364,6.219,Trachymyrmex septentrionalis
156,cons_332,0.3838,AF-A0A3Q0S0Z3-F1-model_v4,0.115,1.0,0.154,3.382,Amphilophus citrinellus
157,cons_1163,0.9071,AF-L8YBG9-F1-model_v4,0.571,0.761,0.08,1.523e-10,Tupaia chinensis
158,cons_575,0.1339,AF-G4Z231-F1-model_v4,0.16,0.769,0.225,4.123,Phytophthora sojae strain P6497
159,cons_475,0.7325,AF-A0A1L8ECH3-F1-model_v4,0.467,1.0,1.0,3.637e-06,Haematobia irritans
160,cons_1270,0.9833,AF-A0A1L8E6Z3-F1-model_v4,0.557,0.673,0.986,1.263e-09,Haematobia irritans
161,cons_818,0.4427,AF-A0A287NJS5-F1-model_v4,0.226,1.0,0.265,2.787,Hordeum vulgare subsp. vulgare
162,cons_1517,0.9809,AF-A0A1Y1XIS8-F1-model_v4,0.378,0.779,0.733,0.0002212,Anaeromyces robustus
163,cons_578,0.9783,AF-W0THA2-F1-model_v4,0.412,0.926,0.9,0.07879,Kluyveromyces marxianus DMKU3-1042
164,cons_59,0.9318,AF-A0A6J2UCV3-F1-model_v4,0.368,0.936,0.866,0.0001045,Scaptodrosophila lebanonensis
165,cons_1473,0.9014,AF-A0A6M0L8W4-F1-model_v4,0.052,0.404,0.042,3.16,Facklamia sp. 252
166,cons_2381,0.5156,AF-A0A7S2EFU6-F1-model_v4,0.051,0.591,0.358,5.659,Trieres chinensis
167,cons_1402,0.4952,AF-A0A0E0G5B4-F1-model_v4,0.12,0.99,0.473,8.018,Oryza nivara
168,cons_2081,0.268,AF-A0A1B9IKZ0-F1-model_v4,0.103,0.826,0.191,7.396,Kwoniella mangroviensis CBS 10435
169,cons_111,0.9434,AF-A0A843BQ77-F1-model_v4,0.181,0.773,0.846,0.000361,Candidatus Heimdallarchaeota archaeon
170,cons_2371,0.193,AF-A0A7M3PTB6-F1-model_v4,0.13,1.0,0.426,4.98,Spirometra erinaceieuropaei
171,cons_646,0.4189,AF-A0A3R9PSM0-F1-model_v4,0.133,0.875,0.907,2.139,Bacillus canaveralius
172,cons_1499,0.08263,AF-A0A2H6NAI8-F1-model_v4,0.131,0.739,0.919,0.02594,Micrurus lemniscatus carvalhoi
173,cons_56,0.9606,AF-A0A6A0GSN3-F1-model_v4,0.593,0.877,0.842,2.474e-08,Hyalella azteca
174,cons_960,0.3013,AF-F9W552-F1-model_v4,0.136,0.982,0.492,6.254,Trypanosoma congolense IL3000
175,cons_50,0.9519,AF-A0A1S3DHF3-F1-model_v4,0.333,0.575,0.343,0.2203,Diaphorina citri
176,cons_1734,0.1688,AF-A0A3N4LB05-F1-model_v4,0.219,1.0,0.688,6.065,Morchella conica CCBAS932
177,cons_1453,0.4776,AF-A0A0C9RDD2-F1-model_v4,0.356,0.796,0.984,5.641e-18,Fopius arisanus
178,cons_107,0.99,AF-A0A803TQC3-F1-model_v4,0.203,0.719,0.877,0.08598,Anolis carolinensis
179,cons_1619,0.3885,AF-Q8TYT4-F1-model_v4,0.15,0.964,0.93,8.125,Methanopyrus kandleri AV19
180,cons_1849,0.2948,AF-A0A3D9HKK8-F1-model_v4,0.133,0.74,0.866,8.164,Seonamhaeicola aphaedonensis
181,cons_55,0.9685,AF-A0A1I8NML2-F1-model_v4,0.548,0.925,0.157,0.0001924,Stomoxys calcitrans
182,cons_2315,0.3993,AF-A0A0L0CGK7-F1-model_v4,0.45,1.0,1.0,0.0003277,Lucilia cuprina
183,cons_1342,0.8546,AF-A0A6I8PBG5-F1-model_v4,0.419,0.764,0.559,0.000476,Ornithorhynchus anatinus
184,cons_1705,0.2214,AF-A0A0L6U9A1-F1-model_v4,0.149,1.0,0.342,4.092,Puccinia sorghi
185,cons_409,0.9661,AF-A0A673HQ70-F1-model_v4,0.395,0.672,0.467,0.00208,Sinocyclocheilus rhinocerous
186,cons_2050,0.9744,AF-A0A6B0XZE5-F1-model_v4,0.345,0.8,0.694,8.966e-10,Boseongicola sp. SB0664_bin_43
187,cons_479,0.9414,AF-C3ZZA4-F1-model_v4,0.336,0.395,0.932,3.886e-06,Branchiostoma floridae
188,cons_1363,0.9565,AF-A0A7J7Y2T7-F1-model_v4,0.529,0.756,0.16,3.016e-05,Myotis myotis
189,cons_2128,0.8583,AF-A0A7M7KCC8-F1-model_v4,0.298,0.648,0.056,0.002669,Varroa destructor
190,cons_720,0.9697,AF-A0A1E1WMM4-F1-model_v4,0.442,0.511,0.395,5.639e-06,Pectinophora gossypiella
191,cons_32,0.9839,AF-A0A0C9QI49-F1-model_v4,0.784,0.991,0.795,1.094e-12,Fopius arisanus
192,cons_1346,0.724,AF-A0A194R2V3-F1-model_v4,0.262,1.0,0.147,0.263,Papilio machaon
193,cons_760,0.7617,AF-A0A5N6I024-F1-model_v4,0.433,0.988,0.965,0.001978,Aspergillus pseudonomiae
194,cons_1913,0.943,AF-A0A316UX76-F1-model_v4,0.428,0.562,0.969,3.446e-06,Jaminaea rosea
195,cons_1018,0.9513,AF-D8TWP9-F1-model_v4,0.49,0.555,0.945,1.007e-10,Volvox carteri f. nagariensis
196,cons_2176,0.133,AF-G1XL03-F1-model_v4,0.226,1.0,0.336,8.0,Orbilia oligospora ATCC 24927
197,cons_2284,0.9904,AF-A0A0K8UZB5-F1-model_v4,0.707,0.976,0.828,1.677e-08,Bactrocera latifrons
198,cons_447,0.5182,AF-A0A4S4DNA0-F1-model_v4,0.073,0.988,0.12,2.985,Camellia sinensis var. sinensis
199,cons_415,0.6242,AF-F6NMA4-F1-model_v4,0.632,0.861,0.728,0.0001754,Danio rerio
200,cons_1741,0.1882,AF-A0A379TT34-F1-model_v4,0.177,0.989,0.901,9.392,Salmonella enterica subsp. diarizonae
201,cons_74,0.2114,AF-A0A0G4I3B3-F1-model_v4,0.141,0.95,0.946,9.803,Chromera velia CCMP2878
202,cons_232,0.8851,AF-A0A818RE72-F1-model_v4,0.207,0.301,0.048,0.03519,Rotaria sp. Silwood1
203,cons_2257,0.3282,AF-A0A0L0C0Q2-F1-model_v4,0.311,0.93,0.482,0.0123,Lucilia cuprina
204,cons_1975,0.4362,AF-I4CBZ7-F1-model_v4,0.161,0.958,0.744,2.177,Desulfomonile tiedjei DSM 6799
205,cons_1785,0.4938,AF-A0A3M7QSL1-F1-model_v4,0.144,0.988,0.697,9.15,Brachionus plicatilis
206,cons_2388,0.9976,AF-A0A556TYW4-F1-model_v4,0.937,0.941,0.432,8.981999999999999e-22,Bagarius yarrelli
207,cons_2242,0.5285,AF-A0A1X1MW78-F1-model_v4,0.116,0.909,0.359,8.119,Vibrio sp. qd031
208,cons_1980,0.9969,AF-A0A6G4ZYW9-F1-model_v4,0.83,0.805,0.992,8.881999999999999e-23,Rhipicephalus microplus
209,cons_306,0.9444,AF-A0A146LM86-F1-model_v4,0.262,0.75,0.773,1.401e-08,Lygus hesperus
210,cons_65,0.4493,AF-A0A249T574-F1-model_v4,0.162,1.0,0.73,9.863,Chitinophaga sp. MD30
211,cons_1352,0.3229,AF-A0A7C9DYG4-F1-model_v4,0.155,0.973,0.613,4.852,Opuntia streptacantha
212,cons_2206,0.9856,AF-A0A7R8UE95-F1-model_v4,0.589,0.992,0.87,2.5889999999999997e-68,Hermetia illucens
213,cons_270,0.9857,AF-A0A0A1XMZ5-F1-model_v4,0.64,0.978,0.876,3.454e-26,Zeugodacus cucurbitae
214,cons_807,0.4088,AF-A0A810KMQ7-F1-model_v4,0.254,0.85,0.608,5.963,Mycolicibacterium sp. TY66
215,cons_1438,0.9016,AF-A0A1S3INF3-F1-model_v4,0.351,0.721,0.99,2.643e-11,Lingula anatina
216,cons_1216,0.3819,AF-A0A5E4NI85-F1-model_v4,0.163,0.731,0.065,6.227,Cinara cedri
217,cons_836,0.7662,AF-A0A212FGC3-F1-model_v4,0.21,0.974,0.514,0.02924,Danaus plexippus plexippus
