,id,AFDB50_highest_Tm,AFDB50_highest_Tm_ID,AFDB50_seqIdent,AFDB50_qcov,AFDB50_tcov,AFDB50_evalue,species
64,rand_1487,0.2845,AF-A0A173R2J1-F1-model_v4,0.178,1.0,0.624,8.325,Parabacteroides distasonis
65,rand_1583,0.3609,AF-A0A6A6PW23-F1-model_v4,0.166,1.0,0.5,3.147,Neohortaea acidophila
66,rand_704,0.3524,AF-A0A183TRR3-F1-model_v4,0.147,0.76,0.671,7.116,Schistocephalus solidus
67,rand_1693,0.4205,AF-A0A8A6HGJ9-F1-model_v4,0.135,0.948,0.329,5.99,Streptomyces nojiriensis
68,rand_753,0.5298,AF-A0A662H9J4-F1-model_v4,0.151,0.534,0.286,7.22,Thermoprotei archaeon
69,rand_844,0.3707,AF-X7ZUU0-F1-model_v4,0.163,0.865,1.0,0.8993,Mycobacterium xenopi 4042
70,rand_450,0.2092,AF-A0A1I8FYN9-F1-model_v4,0.19,0.966,0.41,0.9873,Macrostomum lignano
71,rand_912,0.3616,AF-A0A1A9W7F1-F1-model_v4,0.128,0.897,0.953,2.477,Glossina brevipalpis
72,rand_462,0.3017,AF-A0A485PJM2-F1-model_v4,0.186,0.897,0.439,3.874,Lynx pardinus
73,rand_585,0.3548,AF-A0A2I1FUT7-F1-model_v4,0.145,1.0,0.257,4.166,Rhizophagus irregularis
74,rand_7,0.04529,AF-S3CHF7-F1-model_v4,0.146,0.896,1.0,0.5777,Ophiostoma piceae UAMH 11346
75,rand_13,0.05616,AF-A0A7D9IHP2-F1-model_v4,0.149,0.983,0.844,5.156,Paramuricea clavata
76,rand_1493,0.4991,AF-A0A5B7II30-F1-model_v4,0.156,0.726,0.639,3.278,Portunus trituberculatus
77,rand_1277,0.3056,AF-A0A1J5EYD9-F1-model_v4,0.179,0.978,0.442,5.97,Candidatus Gracilibacteria bacterium CG2_30_37_12
78,rand_528,0.405,AF-A0A4Q2RHT3-F1-model_v4,0.114,0.254,0.132,7.822,Nocardioides glacieisoli
79,rand_298,0.5883,AF-A0A1V6DHC8-F1-model_v4,0.129,0.444,0.444,2.026,Candidatus Cloacimonetes bacterium ADurb.Bin117
80,rand_55,0.1494,AF-A0A0V1DW06-F1-model_v4,0.114,0.858,0.478,4.491,Trichinella pseudospiralis
81,rand_658,0.417,AF-K0RRZ4-F1-model_v4,0.114,0.8,0.49,8.141,Thalassiosira oceanica
82,rand_1158,0.6566,AF-A0A444YID3-F1-model_v4,0.114,0.916,0.071,9.546,Arachis hypogaea
83,rand_166,0.2011,AF-A0A5B0PNN5-F1-model_v4,0.131,0.991,0.378,7.419,Puccinia graminis f. sp. tritici
84,rand_1580,0.4225,AF-A0A239DWF0-F1-model_v4,0.123,1.0,0.314,3.17,Tardiphaga sp. OK246
85,rand_156,0.5736,AF-A0A2J7V4Q4-F1-model_v4,0.111,0.238,0.614,1.775,Variovorax sp. B4
86,rand_1263,0.9004,AF-A0A834TQU1-F1-model_v4,0.096,0.341,0.047,2.754,Senna tora
87,rand_1187,0.5072,AF-A0A3D2F2D1-F1-model_v4,0.105,0.606,0.576,2.264,Patescibacteria group bacterium
88,rand_1172,0.4029,AF-F2JH21-F1-model_v4,0.12,0.926,0.754,5.477,Cellulosilyticum lentocellum DSM 5427
89,rand_2388,0.6868,AF-A0A3P8H6E0-F1-model_v4,0.236,1.0,0.32,3.699,Trichobilharzia regenti
90,rand_2459,0.2057,AF-A0A7C3MMT5-F1-model_v4,0.24,1.0,0.316,4.717,bacterium
91,rand_1004,0.291,AF-A0A1B7T9X2-F1-model_v4,0.211,1.0,0.097,1.225,Hanseniaspora valbyensis NRRL Y-1626
92,rand_421,0.4874,AF-A0A6J8APD3-F1-model_v4,0.096,0.347,0.146,9.114,Mytilus coruscus
93,rand_304,0.4372,AF-A0A7S2JPH8-F1-model_v4,0.122,0.78,0.804,8.618,Haptolina brevifila
94,rand_1550,0.4861,AF-A0A811UFP7-F1-model_v4,0.125,0.573,0.783,6.82,Ceratitis capitata
95,rand_908,0.6444,AF-A0A7S2T729-F1-model_v4,0.108,0.815,0.529,5.428,Chloropicon primus
96,rand_671,0.5882,AF-A0A7J6HJX1-F1-model_v4,0.129,0.5,0.556,3.857,Cannabis sativa
97,rand_1231,0.578,AF-A0A6P4N336-F1-model_v4,0.086,0.5,0.234,7.987,Gossypium arboreum
98,rand_1205,0.5404,AF-A0A6S8T1N1-F1-model_v4,0.289,0.398,0.271,7.449,Chaetoceros debilis
99,rand_1022,0.3422,AF-A0A7D8IX91-F1-model_v4,0.174,1.0,0.879,9.133,Salmonella enterica
100,rand_1689,0.3643,AF-A0A4Z2GBM5-F1-model_v4,0.155,0.987,0.928,9.545,Liparis tanakae
101,rand_2092,0.6905,AF-A0A7K4IIY0-F1-model_v4,0.234,0.703,0.863,2.13,Nitrososphaerales archaeon
102,rand_534,0.5727,AF-A0A2G1SE65-F1-model_v4,0.051,0.285,0.322,5.562,Burkholderia sp. AU18528
103,rand_1807,0.8266,AF-A0A1I7WRS1-F1-model_v4,0.137,0.397,0.299,2.959,Heterorhabditis bacteriophora
104,rand_1266,0.2958,AF-A0A5N6DM17-F1-model_v4,0.107,0.956,0.966,6.6,Aspergillus parasiticus
105,rand_90,0.1477,AF-A0A841DQU0-F1-model_v4,0.137,0.934,0.959,0.36,Kribbella solani
106,rand_342,0.6831,AF-A0A1C5VNT9-F1-model_v4,0.096,0.309,0.505,0.9468,uncultured Blautia sp.
107,rand_182,0.2797,AF-A0A3L6SEL4-F1-model_v4,0.117,0.466,0.206,4.49,Panicum miliaceum
108,rand_92,0.1963,AF-A0A286QUP1-F1-model_v4,0.114,0.626,0.593,1.029,Perionyx excavatus
109,rand_1731,0.4707,AF-A0A0C9N1T2-F1-model_v4,0.118,1.0,0.987,6.786,Mucor ambiguus
110,rand_2381,0.4593,AF-A0A5B7DX42-F1-model_v4,0.125,1.0,0.475,5.355,Portunus trituberculatus
111,rand_1011,0.3809,AF-A0A812DXQ6-F1-model_v4,0.155,0.863,0.078,4.5,Sepia pharaonis
112,rand_917,0.2507,AF-A0A7S0RK49-F1-model_v4,0.153,1.0,1.0,3.558,Chlamydomonas leiostraca
113,rand_493,0.2428,AF-W6MH56-F1-model_v4,0.106,0.993,0.139,3.138,Kuraishia capsulata CBS 1993
114,rand_1934,0.5331,AF-A0A2N5GBC6-F1-model_v4,0.125,0.812,0.184,6.542,Bacillus sp. V3-13
115,rand_1241,0.3169,AF-A0A0M2S654-F1-model_v4,0.154,0.924,0.55,3.583,Micromonospora sp. HK10
116,rand_1951,0.8599,AF-A0A2G6PXL2-F1-model_v4,0.0,0.507,0.059,6.049,Acidobacteria bacterium
117,rand_1953,0.3564,AF-A0A1X3P6A1-F1-model_v4,0.16,0.797,0.207,7.606,Nesterenkonia sp. PF2B19
118,rand_1285,0.638,AF-A0A016V7J7-F1-model_v4,0.18,0.516,0.432,8.139,Ancylostoma ceylanicum
119,rand_638,0.3336,AF-A0A285EF10-F1-model_v4,0.162,0.992,0.684,4.552,Geodermatophilus sabuli
120,rand_1202,0.4116,AF-A0A1C7MTQ5-F1-model_v4,0.119,0.989,0.264,6.934,Choanephora cucurbitarum
121,rand_728,0.1256,AF-A0A5B7C4L2-F1-model_v4,0.146,0.966,0.365,9.489,Davidia involucrata
122,rand_1059,0.8503,AF-A0A6P4DRA3-F1-model_v4,0.052,0.576,0.76,3.73,Arachis duranensis
123,rand_26,0.09893,AF-A0A0S4J6E2-F1-model_v4,0.127,1.0,0.598,0.1419,Bodo saltans
124,rand_409,0.5408,AF-A0A2H0WNW9-F1-model_v4,0.032,0.592,0.103,6.46,Candidatus Shapirobacteria bacterium CG09_land_8_20_14_0_10_39_12
125,rand_209,0.2608,AF-A0A6A5SWY4-F1-model_v4,0.143,0.834,0.954,3.001,Clathrospora elynae
126,rand_2084,0.4167,AF-A0A2R8C114-F1-model_v4,0.25,0.862,0.07,2.673,Palleronia abyssalis
127,rand_492,0.1694,AF-A0A445B6U4-F1-model_v4,0.122,0.972,0.591,7.433,Arachis hypogaea
128,rand_414,0.3342,AF-A0A0E0H7W3-F1-model_v4,0.111,0.788,0.728,5.709,Oryza nivara
129,rand_1338,0.8396,AF-A0A0C3PSD6-F1-model_v4,0.206,0.326,0.033,3.88,Phlebiopsis gigantea 11061_1 CR5-6
130,rand_114,0.2318,AF-A0A2T2TLG3-F1-model_v4,0.178,0.579,0.561,4.084,Bacteroidetes bacterium QS_8_68_15
131,rand_272,0.2896,AF-A0A319CI96-F1-model_v4,0.141,0.659,0.473,8.892,Aspergillus uvarum CBS 121591
132,rand_693,0.2401,AF-A0A2V0PD35-F1-model_v4,0.14,0.992,0.428,4.055,Raphidocelis subcapitata
133,rand_354,0.3112,AF-J3MUW1-F1-model_v4,0.102,0.849,0.839,4.892,Oryza brachyantha
134,rand_338,0.611,AF-A0A800AKA2-F1-model_v4,0.136,0.426,0.083,0.8004,Candidatus Poribacteria bacterium
135,rand_1849,0.2647,AF-A0A7Z0KYD0-F1-model_v4,0.145,0.847,0.213,7.737,Rhabdonatronobacter sediminivivens
136,rand_44,0.09096,AF-A0A0H5C1W9-F1-model_v4,0.13,0.876,0.636,8.453,Cyberlindnera jadinii NRRL Y-1542
137,rand_1391,0.2369,AF-A0A4Y2UC46-F1-model_v4,0.098,0.966,0.559,3.762,Araneus ventricosus
138,rand_1083,0.1448,AF-A0A2N1KU29-F1-model_v4,0.145,0.878,0.979,7.747,Rhizophagus irregularis
139,rand_2280,0.8479,AF-A0A258BPP1-F1-model_v4,0.135,0.638,0.086,9.999,Candidatus Saccharibacteria bacterium 32-49-10
140,rand_358,0.3161,AF-A0A1I8JLV3-F1-model_v4,0.156,0.766,0.654,0.301,Macrostomum lignano
141,rand_1629,0.1723,AF-F0HMP8-F1-model_v4,0.259,0.937,0.811,5.463,Eggerthella sp. HGA1
142,rand_403,0.5394,AF-A0A1H9EJR1-F1-model_v4,0.135,0.484,0.218,0.5452,Treponema bryantii
143,rand_542,0.2212,AF-A0A0S4IT43-F1-model_v4,0.147,0.985,0.365,0.7005,Bodo saltans
144,rand_1868,0.4908,AF-A0A0B3A8Y0-F1-model_v4,0.081,0.69,0.505,9.437,archaeon GW2011_AR6
145,rand_1236,0.3715,AF-A0A811B5B0-F1-model_v4,0.166,1.0,0.619,7.024,Lysobacter caseinilyticus
146,rand_1723,0.7652,AF-A0A420DQP4-F1-model_v4,0.222,0.355,0.245,2.605,Sulfitobacter guttiformis
147,rand_2489,0.6583,AF-A0A352HT98-F1-model_v4,0.194,0.857,0.228,3.461,Porphyromonadaceae bacterium
148,rand_946,0.3975,AF-A0A6L5TYC3-F1-model_v4,0.133,1.0,0.5,9.796,Latilactobacillus curvatus
149,rand_791,0.4317,AF-A0A7W0UA80-F1-model_v4,0.125,0.544,0.096,9.312,Thermoleophilaceae bacterium
150,rand_1905,0.2312,AF-A0A5C6JK08-F1-model_v4,0.13,0.986,1.0,6.845,Bacteroides fragilis
151,rand_1431,0.5164,AF-A0A3E0M0H1-F1-model_v4,0.084,0.919,0.8,9.539,Microcystis aeruginosa TA09
152,rand_2017,0.5785,AF-A0A232FIP3-F1-model_v4,0.157,0.836,0.559,3.943,Trichomalopsis sarcophagae
153,rand_1927,0.6139,AF-A0A2A2FBY3-F1-model_v4,0.137,0.42,0.033,6.736,Halovibrio salipaludis
154,rand_268,0.2013,AF-R0JZM9-F1-model_v4,0.136,0.864,0.266,7.987,Anas platyrhynchos
155,rand_1802,0.7259,AF-A0A1F5PLF6-F1-model_v4,0.093,0.589,0.218,1.606,Candidatus Doudnabacteria bacterium RIFCSPHIGHO2_12_FULL_48_16
156,rand_1914,0.3063,AF-Q9XIL8-F1-model_v4,0.12,0.829,0.046,8.367,Arabidopsis thaliana
157,rand_1519,0.4291,AF-A0A3B3QMH7-F1-model_v4,0.059,0.807,0.122,2.282,Paramormyrops kingsleyae
158,rand_913,0.5045,AF-I1LHG8-F1-model_v4,0.15,0.729,0.234,6.506,Glycine max
159,rand_165,0.2444,AF-A0A3S4ZP49-F1-model_v4,0.155,0.927,0.515,8.873,Protopolystoma xenopodis
160,rand_1589,0.422,AF-A0A7W1XQG6-F1-model_v4,0.142,0.852,0.631,5.688,Thermoactinomyces mirandus
161,rand_1200,0.3057,AF-A0A4Z2CL74-F1-model_v4,0.126,1.0,0.597,7.62,Schistosoma japonicum
162,rand_626,0.5242,AF-A0A514WDW9-F1-model_v4,0.058,0.531,0.289,5.626,Sphingomonas sp. IC081
163,rand_635,0.4356,AF-A0A7S0WXE0-F1-model_v4,0.099,1.0,0.681,3.225,Chlamydomonas leiostraca
164,rand_1041,0.1429,AF-A0A1L7XJN5-F1-model_v4,0.149,0.98,0.693,3.982,Phialocephala subalpina
165,rand_2435,0.5725,AF-A0A836CJI4-F1-model_v4,0.166,1.0,0.199,9.195,Tribonema minus
166,rand_2301,0.5109,AF-A0A356HQM2-F1-model_v4,0.163,0.983,0.953,8.8,Cupriavidus sp.
167,rand_732,0.2958,AF-A0A0V0U3C9-F1-model_v4,0.073,0.874,0.818,7.97,Trichinella murrelli
168,rand_961,0.4458,AF-A0A0A0LYF0-F1-model_v4,0.107,0.933,0.399,6.194,Cucumis sativus
169,rand_971,0.29,AF-S4NXV9-F1-model_v4,0.114,1.0,0.802,7.434,Pararge aegeria
170,rand_2447,0.5795,AF-A0A0F9DFR5-F1-model_v4,0.122,0.961,0.34,7.027,marine sediment metagenome
171,rand_121,0.4202,AF-Q234J2-F1-model_v4,0.113,0.332,0.793,2.416,Tetrahymena thermophila SB210
172,rand_2086,0.4119,AF-A0A5J4YN21-F1-model_v4,0.144,1.0,0.531,4.219,Porphyridium purpureum
173,rand_1726,0.8394,AF-A0A1I8M334-F1-model_v4,0.138,0.855,0.094,1.727,Musca domestica
174,rand_469,0.1853,AF-A0A369HDJ6-F1-model_v4,0.131,0.979,0.757,7.244,Ophiocordyceps camponoti-saundersi (nom. inval.)
175,rand_989,0.3933,AF-T1L383-F1-model_v4,0.087,0.865,0.561,5.496,Tetranychus urticae
176,rand_957,0.3692,AF-A0A6I7PN31-F1-model_v4,0.077,0.733,0.116,9.758,Phycisphaerales bacterium
177,rand_630,0.7198,AF-A0A7R9TTV2-F1-model_v4,0.136,0.648,0.12,0.03267,Prasinoderma coloniale
178,rand_35,0.07988,AF-A0A0X3PH82-F1-model_v4,0.132,0.99,0.943,0.6808,Schistocephalus solidus
179,rand_2206,0.5687,AF-A0A0E3S3J8-F1-model_v4,0.131,1.0,0.635,9.831,Methanosarcina lacustris Z-7289
180,rand_641,0.2792,AF-A0A0E9NA12-F1-model_v4,0.14,0.835,0.12,9.256,Saitoella complicata NRRL Y-17804
181,rand_1616,0.5968,AF-A0A2G5HPS6-F1-model_v4,0.051,0.7,0.253,1.603,Cercospora beticola
182,rand_461,0.3358,AF-A0A0H4PE30-F1-model_v4,0.155,0.822,0.772,8.471,Cyclobacterium amurskyense
183,rand_2354,0.4161,AF-A0A7S1H344-F1-model_v4,0.216,1.0,0.135,5.358,Hemiselmis andersenii
184,rand_251,0.404,AF-A0A5M9J8H3-F1-model_v4,0.116,0.896,0.424,1.751,Monilinia fructicola
185,rand_1879,0.4508,AF-A0A803M2I4-F1-model_v4,0.177,0.634,0.192,6.445,Chenopodium quinoa
186,rand_2160,0.6052,AF-A0A7X3WUK8-F1-model_v4,0.089,0.903,0.427,4.289,Candidatus Poribacteria bacterium
187,rand_1432,0.3815,AF-A0A3P9I2A5-F1-model_v4,0.206,0.721,0.243,9.67,Oryzias latipes
188,rand_744,0.3301,AF-A0A6A5EB50-F1-model_v4,0.135,0.765,0.465,9.77,Perca fluviatilis
189,rand_714,0.4968,AF-A0A5C3KSW4-F1-model_v4,0.133,0.375,0.301,5.525,Coprinopsis marcescibilis
190,rand_200,0.7367,AF-A0A127F394-F1-model_v4,0.145,0.274,0.218,0.7243,Rhodoplanes sp. Z2-YC6860
191,rand_1571,0.5745,AF-A0A0H2R384-F1-model_v4,0.071,0.963,0.149,5.015,Schizopora paradoxa
192,rand_1029,0.7425,AF-A0A318QY05-F1-model_v4,0.12,0.574,0.877,3.764,Komagataeibacter sucrofermentans
193,rand_958,0.5073,AF-E6QSD8-F1-model_v4,0.147,0.648,0.667,6.312,mine drainage metagenome
194,rand_103,0.2234,AF-A0A7S3BDK1-F1-model_v4,0.166,0.881,0.445,0.6411,Prasinoderma singulare
195,rand_1388,0.7353,AF-A0A7X5DWI8-F1-model_v4,0.097,0.471,0.194,4.316,Lachnospiraceae bacterium
196,rand_1223,0.28,AF-A0A7S1FG69-F1-model_v4,0.168,0.968,0.508,2.204,Noctiluca scintillans
197,rand_822,0.6178,AF-A0A552VDW3-F1-model_v4,0.097,0.366,0.086,2.898,Criibacterium bergeronii
198,rand_1564,0.6333,AF-A0A1G0K7L0-F1-model_v4,0.2,0.61,0.157,2.242,Gammaproteobacteria bacterium RIFCSPLOWO2_02_FULL_61_13
199,rand_239,0.6267,AF-A0A6G3VNY0-F1-model_v4,0.15,0.508,0.97,0.5663,Streptomyces sp. SID10244
200,rand_1846,0.6279,AF-A0A1I8FE49-F1-model_v4,0.187,0.667,0.166,9.295,Macrostomum lignano
201,rand_657,0.2234,AF-E3QSB3-F1-model_v4,0.193,0.96,0.186,6.029,Colletotrichum graminicola M1.001
202,rand_885,0.2441,AF-A0A0C3QEL8-F1-model_v4,0.173,1.0,0.974,6.543,Tulasnella calospora MUT 4182
203,rand_1585,0.4261,AF-A0A1T2L440-F1-model_v4,0.1,0.988,1.0,4.197,Solemya elarraichensis gill symbiont
204,rand_655,0.3833,AF-W9NU51-F1-model_v4,0.122,0.84,0.298,3.59,Fusarium oxysporum f. sp. pisi HDV247
205,rand_2208,0.2583,AF-A0A177CUK2-F1-model_v4,0.166,0.902,0.192,6.579,Paraphaeosphaeria sporulosa
206,rand_1671,0.3817,AF-Q7UK95-F1-model_v4,0.173,0.885,0.591,5.8,Rhodopirellula baltica SH 1
207,rand_430,0.3452,AF-A0A4Q9KQK4-F1-model_v4,0.136,0.987,0.595,2.719,Hamiltosporidium tvaerminnensis
208,rand_2320,0.4988,AF-A0A4U5LPY5-F1-model_v4,0.176,0.895,0.699,6.387,Steinernema carpocapsae
209,rand_1103,0.2691,AF-A0A3P7JKV5-F1-model_v4,0.127,0.969,0.839,6.441,Litomosoides sigmodontis
210,rand_2218,0.4532,AF-A0A431PUC6-F1-model_v4,0.081,0.983,0.077,3.671,Hyphomicrobiales bacterium
211,rand_1602,0.3191,AF-A0A2V9QX00-F1-model_v4,0.139,0.962,0.139,4.282,Acidobacteria bacterium
212,rand_1595,0.4926,AF-S1RTW3-F1-model_v4,0.138,0.79,0.516,6.213,Theobroma cacao
213,rand_1599,0.5121,AF-A0A7Y2W1W0-F1-model_v4,0.106,0.825,0.213,7.334,Promicromonospora citrea
214,rand_833,0.1974,AF-A0A3S5FCT0-F1-model_v4,0.159,0.982,0.536,7.645,Protopolystoma xenopodis
215,rand_631,0.4641,AF-A0A1Q9F066-F1-model_v4,0.101,0.773,0.127,0.3956,Symbiodinium microadriaticum
216,rand_987,0.6255,AF-A0A2D4KE18-F1-model_v4,0.109,0.827,0.835,3.125,Micrurus paraensis
217,rand_1269,0.454,AF-A0A448ZRQ8-F1-model_v4,0.111,0.978,0.288,8.86,Pseudo-nitzschia multistriata
218,rand_841,0.3786,AF-A0A7S3PEP3-F1-model_v4,0.098,0.991,0.195,8.899,Aplanochytrium stocchinoi
219,rand_623,0.2445,AF-A0A4C1V6X3-F1-model_v4,0.113,0.806,0.731,5.769,Eumeta japonica
